"subject","condition","rt","response","observed"
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","speed",0.5015,1,1
"as1t","speed",0.3104,1,1
"as1t","speed",0.4118,0,1
"as1t","speed",0.4343,0,1
"as1t","speed",0.5187,1,1
"as1t","speed",0.4949,1,1
"as1t","speed",0.5114,1,1
"as1t","speed",0.2873,1,1
"as1t","speed",0.4389,1,1
"as1t","speed",0.3373,1,1
"as1t","speed",0.458,1,1
"as1t","speed",0.5226,1,1
"as1t","speed",0.4205,1,1
"as1t","speed",0.4179,0,1
"as1t","speed",0.4449,1,1
"as1t","speed",0.4911,1,1
"as1t","speed",0.3138,1,1
"as1t","speed",0.5663,1,1
"as1t","speed",0.4528,1,1
"as1t","speed",0.3561,0,1
"as1t","speed",0.5611,1,1
"as1t","speed",0.4483,1,1
"as1t","speed",0.4949,0,1
"as1t","speed",0.4455,1,1
"as1t","speed",0.4222,0,1
"as1t","speed",0.4399,1,1
"as1t","speed",0.5916,1,1
"as1t","speed",0.3304,0,1
"as1t","speed",0.4408,1,1
"as1t","speed",0.463,1,1
"as1t","speed",0.2693,0,1
"as1t","speed",0.2952,0,1
"as1t","speed",0.3169,1,1
"as1t","speed",0.4053,1,1
"as1t","speed",0.4288,1,1
"as1t","speed",0.7772,1,1
"as1t","speed",0.3848,1,1
"as1t","speed",0.3627,1,1
"as1t","speed",0.3172,0,1
"as1t","speed",0.4814,1,1
"as1t","speed",0.5742,1,1
"as1t","speed",0.4669,1,1
"as1t","speed",0.4466,1,1
"as1t","speed",0.4067,1,1
"as1t","speed",0.4227,0,1
"as1t","speed",0.3978,1,1
"as1t","speed",0.4248,0,1
"as1t","speed",0.5291,1,1
"as1t","speed",0.2508,0,1
"as1t","speed",0.2742,0,1
"as1t","speed",0.3085,1,1
"as1t","speed",0.5509,1,1
"as1t","speed",0.552,1,1
"as1t","speed",0.4266,1,1
"as1t","speed",0.3986,1,1
"as1t","speed",0.5463,1,1
"as1t","speed",0.4831,1,1
"as1t","speed",0.4486,1,1
"as1t","speed",0.4442,1,1
"as1t","speed",0.4746,1,1
"as1t","speed",0.6796,1,1
"as1t","speed",0.7914,1,1
"as1t","speed",0.4348,1,1
"as1t","speed",0.2798,1,1
"as1t","speed",0.2523,1,1
"as1t","speed",0.3321,0,1
"as1t","speed",0.6356,0,1
"as1t","speed",0.2876,1,1
"as1t","speed",0.3355,0,1
"as1t","speed",0.3671,1,1
"as1t","speed",0.4167,1,1
"as1t","speed",0.6077,0,1
"as1t","speed",0.5463,1,1
"as1t","speed",0.6583,1,1
"as1t","speed",0.5375,1,1
"as1t","speed",0.4121,1,1
"as1t","speed",0.4044,1,1
"as1t","speed",0.4882,1,1
"as1t","speed",0.5834,1,1
"as1t","speed",0.4766,1,1
"as1t","speed",0.382,1,1
"as1t","speed",0.4984,0,1
"as1t","speed",0.3619,1,1
"as1t","speed",0.4684,1,1
"as1t","speed",0.3691,1,1
"as1t","speed",0.3386,1,1
"as1t","speed",0.4128,1,1
"as1t","speed",0.4232,1,1
"as1t","speed",0.5396,1,1
"as1t","speed",0.7228,1,1
"as1t","speed",0.5233,1,1
"as1t","speed",0.5865,1,1
"as1t","speed",0.4188,1,1
"as1t","speed",0.2666,1,1
"as1t","speed",0.3557,1,1
"as1t","speed",0.5287,0,1
"as1t","speed",0.5145,0,1
"as1t","speed",0.5009,1,1
"as1t","speed",0.6435,1,1
"as1t","speed",0.6886,1,1
"as1t","speed",0.4484,1,1
"as1t","speed",0.3245,1,1
"as1t","speed",0.4453,0,1
"as1t","speed",0.3835,1,1
"as1t","speed",0.4268,1,1
"as1t","speed",0.4984,1,1
"as1t","speed",0.6289,0,1
"as1t","speed",0.499,1,1
"as1t","speed",0.5708,1,1
"as1t","speed",0.4746,1,1
"as1t","speed",0.4371,1,1
"as1t","speed",0.4809,1,1
"as1t","speed",0.5002,1,1
"as1t","speed",0.5775,1,1
"as1t","speed",0.4643,0,1
"as1t","speed",0.4541,1,1
"as1t","speed",0.3091,1,1
"as1t","speed",0.301,0,1
"as1t","speed",0.4046,1,1
"as1t","speed",0.4999,0,1
"as1t","speed",0.4841,1,1
"as1t","speed",0.4947,1,1
"as1t","speed",0.4593,0,1
"as1t","speed",0.4176,1,1
"as1t","speed",0.4755,1,1
"as1t","speed",0.4716,1,1
"as1t","speed",0.451,1,1
"as1t","speed",0.5971,1,1
"as1t","speed",0.5198,1,1
"as1t","speed",0.4566,1,1
"as1t","speed",0.6707,1,1
"as1t","speed",0.5711,1,1
"as1t","speed",0.6683,1,1
"as1t","speed",0.3526,1,1
"as1t","speed",0.2969,1,1
"as1t","speed",0.3434,0,1
"as1t","speed",0.4565,1,1
"as1t","speed",0.4045,1,1
"as1t","speed",0.4315,1,1
"as1t","speed",0.4852,1,1
"as1t","speed",0.581,1,1
"as1t","speed",0.3494,1,1
"as1t","speed",0.3663,1,1
"as1t","speed",0.3457,1,1
"as1t","speed",0.3136,0,1
"as1t","speed",0.294,1,1
"as1t","speed",0.2796,1,1
"as1t","speed",0.2578,1,1
"as1t","speed",0.3154,0,1
"as1t","speed",0.3949,1,1
"as1t","speed",0.6242,1,1
"as1t","speed",0.2692,0,1
"as1t","speed",0.4254,0,1
"as1t","speed",0.4729,1,1
"as1t","speed",0.5634,0,1
"as1t","speed",0.4424,1,1
"as1t","speed",0.4814,1,1
"as1t","speed",0.6303,1,1
"as1t","speed",0.7392,0,1
"as1t","speed",0.3065,0,1
"as1t","speed",0.4832,1,1
"as1t","speed",0.4933,1,1
"as1t","speed",0.3335,0,1
"as1t","speed",0.5856,0,1
"as1t","speed",0.5166,1,1
"as1t","speed",0.5371,1,1
"as1t","speed",0.4332,1,1
"as1t","speed",0.4436,1,1
"as1t","speed",0.3421,1,1
"as1t","speed",0.4332,1,1
"as1t","speed",0.2985,0,1
"as1t","speed",0.3902,1,1
"as1t","speed",0.4517,1,1
"as1t","speed",0.5997,1,1
"as1t","speed",0.5253,1,1
"as1t","speed",0.4903,1,1
"as1t","speed",0.2614,0,1
"as1t","speed",0.31,0,1
"as1t","speed",0.4555,1,1
"as1t","speed",0.4429,0,1
"as1t","speed",0.4707,0,1
"as1t","speed",0.5477,1,1
"as1t","speed",0.5216,1,1
"as1t","speed",0.5944,1,1
"as1t","speed",0.3548,0,1
"as1t","speed",0.4766,1,1
"as1t","speed",0.4652,0,1
"as1t","speed",0.4605,0,1
"as1t","speed",0.4643,1,1
"as1t","speed",0.598,0,1
"as1t","speed",0.4342,0,1
"as1t","speed",0.375,1,1
"as1t","speed",0.2923,1,1
"as1t","speed",0.4312,0,1
"as1t","speed",0.4659,1,1
"as1t","speed",0.3589,1,1
"as1t","speed",0.6439,0,1
"as1t","speed",0.4326,1,1
"as1t","speed",0.329,0,1
"as1t","speed",0.6269,1,1
"as1t","speed",0.5085,1,1
"as1t","speed",0.4748,1,1
"as1t","speed",0.3446,1,1
"as1t","speed",0.7471,1,1
"as1t","speed",0.3307,1,1
"as1t","speed",0.3643,0,1
"as1t","speed",0.5619,0,1
"as1t","speed",0.4083,1,1
"as1t","speed",0.4343,1,1
"as1t","speed",0.4974,1,1
"as1t","speed",0.5271,0,1
"as1t","speed",0.5616,1,1
"as1t","speed",0.3018,1,1
"as1t","speed",0.4758,1,1
"as1t","speed",0.6005,1,1
"as1t","speed",0.5125,0,1
"as1t","speed",0.3383,0,1
"as1t","speed",0.3469,0,1
"as1t","speed",0.5426,1,1
"as1t","speed",0.4327,1,1
"as1t","speed",0.3649,1,1
"as1t","speed",0.7979,1,1
"as1t","speed",0.5495,1,1
"as1t","speed",0.6027,1,1
"as1t","speed",0.4856,1,1
"as1t","speed",0.4544,1,1
"as1t","speed",0.551,1,1
"as1t","speed",0.3933,1,1
"as1t","speed",0.4128,1,1
"as1t","speed",0.376,0,1
"as1t","speed",0.3786,1,1
"as1t","speed",0.3038,1,1
"as1t","speed",0.3256,1,1
"as1t","speed",0.5413,1,1
"as1t","speed",0.478,0,1
"as1t","speed",0.5245,1,1
"as1t","speed",0.6227,1,1
"as1t","speed",0.377,0,1
"as1t","speed",0.4111,1,1
"as1t","speed",0.3155,1,1
"as1t","speed",0.4956,1,1
"as1t","speed",0.6243,1,1
"as1t","speed",0.3878,1,1
"as1t","speed",0.5258,0,1
"as1t","speed",0.3896,1,1
"as1t","speed",0.5341,1,1
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","speed",0,0,0
"as1t","neutral",0.3465,1,1
"as1t","neutral",0.3572,1,1
"as1t","neutral",0.4042,1,1
"as1t","neutral",0.3866,1,1
"as1t","neutral",0.3545,1,1
"as1t","neutral",0.5127,1,1
"as1t","neutral",0.5938,1,1
"as1t","neutral",0.3796,1,1
"as1t","neutral",0.3286,0,1
"as1t","neutral",0.3089,1,1
"as1t","neutral",0.4144,1,1
"as1t","neutral",0.3114,1,1
"as1t","neutral",0.4272,1,1
"as1t","neutral",0.4914,1,1
"as1t","neutral",0.5793,1,1
"as1t","neutral",0.4194,1,1
"as1t","neutral",0.4025,1,1
"as1t","neutral",0.7872,1,1
"as1t","neutral",0.4621,1,1
"as1t","neutral",0.4605,1,1
"as1t","neutral",0.4935,1,1
"as1t","neutral",0.325,1,1
"as1t","neutral",0.5204,1,1
"as1t","neutral",0.4084,1,1
"as1t","neutral",0.4731,0,1
"as1t","neutral",0.4068,1,1
"as1t","neutral",0.4937,1,1
"as1t","neutral",0.411,1,1
"as1t","neutral",0.7205,0,1
"as1t","neutral",0.3879,1,1
"as1t","neutral",0.465,1,1
"as1t","neutral",0.3923,0,1
"as1t","neutral",0.5048,1,1
"as1t","neutral",0.4835,1,1
"as1t","neutral",0.5265,1,1
"as1t","neutral",0.4477,1,1
"as1t","neutral",0.4584,1,1
"as1t","neutral",0.4639,1,1
"as1t","neutral",0.4252,1,1
"as1t","neutral",0.5508,1,1
"as1t","neutral",0.4207,0,1
"as1t","neutral",0.4012,1,1
"as1t","neutral",0.5346,1,1
"as1t","neutral",0.4813,1,1
"as1t","neutral",0.4643,1,1
"as1t","neutral",0.401,1,1
"as1t","neutral",0.3694,1,1
"as1t","neutral",0.3782,1,1
"as1t","neutral",0.4619,0,1
"as1t","neutral",0.4138,1,1
"as1t","neutral",0.479,1,1
"as1t","neutral",0.393,1,1
"as1t","neutral",0.6002,1,1
"as1t","neutral",0.456,1,1
"as1t","neutral",0.3722,1,1
"as1t","neutral",0.5878,0,1
"as1t","neutral",0.4782,0,1
"as1t","neutral",0.4422,1,1
"as1t","neutral",0.4027,1,1
"as1t","neutral",0.6759,1,1
"as1t","neutral",0.4365,1,1
"as1t","neutral",0.5855,0,1
"as1t","neutral",0.48,1,1
"as1t","neutral",0.5891,1,1
"as1t","neutral",0.7018,1,1
"as1t","neutral",0.391,1,1
"as1t","neutral",0.5876,0,1
"as1t","neutral",0.6047,1,1
"as1t","neutral",0.4358,0,1
"as1t","neutral",0.402,1,1
"as1t","neutral",0.6568,0,1
"as1t","neutral",0.6033,0,1
"as1t","neutral",0.5813,0,1
"as1t","neutral",0.5173,1,1
"as1t","neutral",0.675,1,1
"as1t","neutral",0.4096,1,1
"as1t","neutral",0.4569,1,1
"as1t","neutral",0.492,1,1
"as1t","neutral",0.5173,1,1
"as1t","neutral",0.5603,1,1
"as1t","neutral",0.3712,1,1
"as1t","neutral",0.4314,1,1
"as1t","neutral",0.4584,1,1
"as1t","neutral",0.4748,0,1
"as1t","neutral",0.4662,0,1
"as1t","neutral",0.382,1,1
"as1t","neutral",0.437,1,1
"as1t","neutral",0.3845,0,1
"as1t","neutral",0.6772,1,1
"as1t","neutral",0.4187,1,1
"as1t","neutral",0.4135,0,1
"as1t","neutral",0.3522,1,1
"as1t","neutral",0.4359,1,1
"as1t","neutral",0.4698,0,1
"as1t","neutral",0.4827,1,1
"as1t","neutral",0.4768,0,1
"as1t","neutral",0.585,1,1
"as1t","neutral",0.4128,1,1
"as1t","neutral",0.4402,0,1
"as1t","neutral",0.4409,1,1
"as1t","neutral",0.7461,0,1
"as1t","neutral",0.4716,1,1
"as1t","neutral",0.4423,1,1
"as1t","neutral",0.4141,1,1
"as1t","neutral",0.5117,1,1
"as1t","neutral",0.4572,1,1
"as1t","neutral",0.5874,1,1
"as1t","neutral",0.68,1,1
